"date","flight_number","scheduled_time","expected_delay"
"2025-07-21",CA3844,"14:40",5.524278783328976
"2025-07-21",CA3862,"16:40",24.29252104908181
"2025-07-21",CA402,"14:55",0.0
"2025-07-21",CA440,"14:10",0.0
"2025-07-21",CA5004,"12:50",21.534544701886293
"2025-07-21",CA5006,"14:50",6.566958544546102
"2025-07-21",CA5018,"12:30",0.0
"2025-07-21",CA5024,"20:00",0.0
"2025-07-21",CA710,"10:50",3.9653134805790593
"2025-07-21",CA740,"14:25",18.62841303636932
"2025-07-21",CA8856,"14:00",37.0137485767487
"2025-07-21",CA8860,"16:45",4.27793365779204
"2025-07-21",CA8874,"11:45",0.0
"2025-07-21",CA8876,"23:40",0.0
"2025-07-21",CA8878,"22:15",0.0
"2025-07-21",CA8880,"21:45",6.995312599009299
"2025-07-21",CA8882,"22:55",1.2964318619589346
"2025-07-21",CA8888,"12:15",17.137235757880006
"2025-07-21",CA8892,"15:30",20.018974826613018
"2025-07-21",CI161,"12:35",5.865385471671237
"2025-07-21",CI163,"20:35",19.272142244740735
"2025-07-21",CI165,"12:05",0.0
"2025-07-21",CI9065,"10:30",0.0
"2025-07-21",CI9067,"16:10",0.0
"2025-07-21",CI9554,"21:25",0.0
"2025-07-21",CM8000,"14:40",1.2097938726445658
"2025-07-21",CM8001,"20:40",8.801058056778148
"2025-07-21",CM8021,"21:05",7.056219842335795
"2025-07-21",CX411,"15:10",4.726759515563204
"2025-07-21",CX417,"10:10",0.0
"2025-07-21",CX419,"20:05",13.236570315474541
"2025-07-21",CX439,"13:40",0.0
"2025-07-21",CX5619,"12:45",0.0
"2025-07-21",CX5627,"22:30",0.0
"2025-07-21",CX6232,"11:10",4.662662746415581
"2025-07-21",CZ3062,"16:45",0.0
"2025-07-21",CZ3090,"14:50",1.3576749661010563
"2025-07-21",CZ314,"12:35",1.1135604195305255
"2025-07-21",CZ338,"15:15",7.6945468498761915
"2025-07-21",CZ340,"10:20",0.0
"2025-07-21",CZ370,"21:30",10.755170040856324
"2025-07-21",CZ6010,"21:15",4.257706334597685
"2025-07-21",CZ6074,"14:35",0.0
"2025-07-21",CZ672,"21:50",0.0
"2025-07-21",CZ676,"22:40",11.598628924930212
"2025-07-21",CZ682,"12:45",19.009703884829335
"2025-07-21",CZ684,"19:55",0.5685890886174785
"2025-07-21",CZ686,"11:25",5.788301139884712
"2025-07-21",CZ688,"13:20",0.0
"2025-07-21",CZ696,"17:30",5.023802893175995
"2025-07-21",CZ8172,"21:55",0.0
"2025-07-21",D7507,"20:20",7.20605808944236
"2025-07-21",DL026,"18:50",21.648340723533522
"2025-07-21",DL158,"10:15",23.37632304082873
"2025-07-21",DL170,"18:40",19.67929783509446
"2025-07-21",DL188,"16:25",0.0
"2025-07-21",DL7718,"12:35",20.50201704583086
"2025-07-21",DL7720,"20:35",0.0
"2025-07-21",DL7773,"19:45",2.8532092322843337
"2025-07-21",DL7775,"10:30",78.95429692186501
"2025-07-21",DL7777,"16:10",0.0
"2025-07-21",DL7779,"10:10",3.5482281513926583
"2025-07-21",DL7781,"18:35",0.0
"2025-07-21",DL7783,"19:00",19.458964713276792
"2025-07-21",DL7787,"15:05",2.1576374376364154
"2025-07-21",DL7791,"10:35",17.796315345227477
"2025-07-21",DL7793,"18:50",0.0
"2025-07-21",DL7797,"18:40",10.289386797930124
"2025-07-21",DL7799,"13:45",0.0
"2025-07-21",DL7803,"16:10",0.0
"2025-07-21",DL7807,"18:45",19.522882008012665
"2025-07-21",DL7811,"18:20",6.271126933532569
"2025-07-21",DL7813,"20:00",3.36502093301835
"2025-07-21",DL7819,"14:45",46.37950674303704
"2025-07-21",DL7821,"18:40",1.1089303368218566
"2025-07-21",DL7823,"23:35",21.696984791734458
"2025-07-21",DL7825,"21:15",20.936359399629673
"2025-07-21",DL7831,"21:00",6.611933532523189
"2025-07-21",DL7833,"20:25",0.0
"2025-07-21",DL7835,"14:30",0.0
"2025-07-21",DL7837,"16:40",0.0
"2025-07-21",DL7841,"10:00",4.759064094948897
"2025-07-21",DL7843,"19:30",13.67002508452811
"2025-07-21",DL7845,"19:30",3.130733434760188
"2025-07-21",DL7852,"18:05",0.0
