"terminal","date","year","month","day","hour_of_day","departure_gate","passengers_forecast"
T1,"20250720","2025","07","20","12",t1_3,529
T1,"20250720","2025","07","20","12",t1_4,836
T1,"20250720","2025","07","20","12",t1_5_6,961
T2,"20250720","2025","07","20","12",t2_1,776
T2,"20250720","2025","07","20","12",t2_2,489
T1,"20250720","2025","07","20","13",t1_1_2,811
T1,"20250720","2025","07","20","13",t1_3,649
T1,"20250720","2025","07","20","13",t1_4,955
T1,"20250720","2025","07","20","13",t1_5_6,1099
T2,"20250720","2025","07","20","13",t2_1,955
T2,"20250720","2025","07","20","13",t2_2,632
T1,"20250720","2025","07","20","14",t1_1_2,724
T1,"20250720","2025","07","20","14",t1_3,590
T1,"20250720","2025","07","20","14",t1_4,954
T1,"20250720","2025","07","20","14",t1_5_6,793
T2,"20250720","2025","07","20","14",t2_1,957
T2,"20250720","2025","07","20","14",t2_2,673
T1,"20250720","2025","07","20","15",t1_1_2,720
T1,"20250720","2025","07","20","15",t1_3,744
T1,"20250720","2025","07","20","15",t1_4,955
T1,"20250720","2025","07","20","15",t1_5_6,824
T2,"20250720","2025","07","20","15",t2_1,698
T2,"20250720","2025","07","20","15",t2_2,448
T1,"20250720","2025","07","20","16",t1_1_2,974
T1,"20250720","2025","07","20","16",t1_3,808
T1,"20250720","2025","07","20","16",t1_4,857
T1,"20250720","2025","07","20","16",t1_5_6,602
T2,"20250720","2025","07","20","16",t2_1,1085
T2,"20250720","2025","07","20","16",t2_2,643
T1,"20250720","2025","07","20","17",t1_1_2,1230
T1,"20250720","2025","07","20","17",t1_3,808
T1,"20250720","2025","07","20","17",t1_4,697
T1,"20250720","2025","07","20","17",t1_5_6,722
T2,"20250720","2025","07","20","17",t2_1,1349
T2,"20250720","2025","07","20","17",t2_2,1089
T1,"20250720","2025","07","20","18",t1_1_2,1223
T1,"20250720","2025","07","20","18",t1_3,878
T1,"20250720","2025","07","20","18",t1_4,925
T1,"20250720","2025","07","20","18",t1_5_6,1144
T2,"20250720","2025","07","20","18",t2_1,1007
T2,"20250720","2025","07","20","18",t2_2,828
T1,"20250720","2025","07","20","19",t1_1_2,894
T1,"20250720","2025","07","20","19",t1_3,739
T1,"20250720","2025","07","20","19",t1_4,988
T1,"20250720","2025","07","20","19",t1_5_6,1219
T2,"20250720","2025","07","20","19",t2_1,1109
T2,"20250720","2025","07","20","19",t2_2,0
T1,"20250720","2025","07","20","20",t1_1_2,0
T1,"20250720","2025","07","20","20",t1_3,1587
T1,"20250720","2025","07","20","20",t1_4,0
T1,"20250720","2025","07","20","20",t1_5_6,826
T2,"20250720","2025","07","20","20",t2_1,727
T2,"20250720","2025","07","20","20",t2_2,0
T1,"20250720","2025","07","20","21",t1_1_2,0
T1,"20250720","2025","07","20","21",t1_3,747
T1,"20250720","2025","07","20","21",t1_4,0
T1,"20250720","2025","07","20","21",t1_5_6,450
T2,"20250720","2025","07","20","21",t2_1,496
T2,"20250720","2025","07","20","21",t2_2,0
T1,"20250720","2025","07","20","22",t1_1_2,0
T1,"20250720","2025","07","20","22",t1_3,875
T1,"20250720","2025","07","20","22",t1_4,0
T1,"20250720","2025","07","20","22",t1_5_6,0
T2,"20250720","2025","07","20","22",t2_1,107
T2,"20250720","2025","07","20","22",t2_2,0
T1,"20250720","2025","07","20","23",t1_1_2,0
T1,"20250720","2025","07","20","23",t1_3,941
T1,"20250720","2025","07","20","23",t1_4,0
T1,"20250720","2025","07","20","23",t1_5_6,0
T2,"20250720","2025","07","20","23",t2_1,1
T2,"20250720","2025","07","20","23",t2_2,0
