"category_kr","category_en","image_name","brief","ox_carryon","detail_carryon","ox_checked","detail_checked","detail_common"
액체류-화장품·의약품류,Liquid Cosmetics,liquid_cosmetics.png,"액체, 스프레이, 젤 형태의 화장품 등",X,"단, 개별 용기당 100ml 이하로 1인당 1L 비닐 지퍼백(20.5cm*20.5cm/15cm*25cm) 1개 한해 반입 가능하며, 국내선은 제한없음",O,"단, 인화성이 없는 스프레이류는 항공위험물운송기준에 따라 총 2kg(2L) 범위 내에서 1개당 500g(500ml) 이하로만 반입 가능",""
액체류-음식물류,Liquid Food,liquid_food.png,액체/젤 형태의 음식물,X,"단, 개별 용기당 100ml 이하로 1인당 1L 비닐 지퍼백(20.5cm*20.5cm/15cm*25cm) 1개에 한해 반입 가능하며, 국내선은 제한 없음",O,용량 제한 없이 가능,""
위해물품-창·도검류,Dangerous Blades,danger_blade.png,"칼, 창 등 날붙이",X,"",O,"","단, 둥근 날을 가진 버터칼, 안전날이 포함된 면도기, 안전면도날, 전기면도기 및 기내식 전용 나이프(항공사 소유)는 기내 휴대 반입가능"
위해물품-전자충격기·총기·호신용품,Dangerous Weapons,danger_weapon.png,"전자충격기, 총기, 호신용품",X,"",O,"","단, 위탁수하물로 반입할 경우, 해당 항공운송사업자에게 총기소지허가서 또는 수출입허가서 등 관련서류를 확인시키고, 총알과 분리한 후, 단단히 보관함에 넣은 경우에만 가능. 총기류 부품 중 조준경은 기내 휴대 및 위탁수하물 반입가능"
위해물품-공구류,Dangerous Tools,danger_tool.png,"망치, 렌치 등 공구류",X,"",O,"",""
위험물-리튬이온배터리,Lithium Batteries,danger_battery.png,리튬이온 배터리,O,"여분배터리 100Wh 이하 : 제한 없이 가능, 여분배터리 100Wh 초과 ~ 160Wh 이하 : 항공사 승인 하에 기내 휴대로 1인당 2개 반입 가능, 여분배터리 160Wh 초과 : 반입 불가 ※ 위 기준은 항공사 마다 상이하므로 각 항공사에 문의 필요",X,"",""
위험물-인화성 가스·방사능,Hazardous Chemicals,danger_chemical.png,"인화성 가스, 방사성 물질 등",X,"",X,"",※ 스프레이류는 제한물품 FAQ의 설명 참고
