"year","month","time_slot","flight_arrival","flight_departure","flight_total","passenger_arrival","passenger_departure","passenger_total","cargo_arrival","cargo_departure","cargo_total"
"2023","10","13시-14시",823,905,1728,135064,129296,264360,4187,5752,9939
"2023","10","14시-15시",849,888,1737,149902,129059,278961,4832,6039,10870
"2023","10","15시-16시",946,831,1777,179942,139726,319668,5840,2735,8575
"2023","10","16시-17시",1139,731,1870,240813,119223,360036,8410,3155,11565
"2023","10","17시-18시",1094,701,1795,235805,118591,354396,6878,3455,10332
"2023","10","18시-19시",862,725,1587,170009,133974,303983,4464,3447,7911
"2023","10","19시-20시",756,903,1659,122242,171278,293520,3064,3884,6948
"2023","10","20시-21시",882,896,1778,133002,189136,322138,5677,3524,9201
"2023","10","21시-22시",681,913,1594,118121,162584,280705,4057,4202,8259
"2023","10","22시-23시",466,736,1202,71990,90764,162754,3425,9197,12623
"2023","10","23시-00시",257,547,804,21587,58997,80584,3551,13934,17485
"2023","11","00시-01시",156,346,502,13786,34682,48468,2819,8680,11499
"2023","11","01시-02시",80,214,294,1909,23469,25378,2166,4509,6675
"2023","11","02시-03시",63,216,279,2786,17797,20583,1933,6738,8672
"2023","11","03시-04시",113,95,208,11117,955,12072,1540,4281,5821
"2023","11","04시-05시",456,87,543,82317,499,82816,3228,3486,6715
"2023","11","05시-06시",833,53,886,168500,0,168500,3728,1877,5605
"2023","11","06시-07시",801,183,984,148473,23101,171574,5040,1487,6527
"2023","11","07시-08시",875,587,1462,133902,100965,234867,7301,1019,8319
"2023","11","08시-09시",676,1056,1732,98628,183885,282513,8066,5385,13451
"2023","11","09시-10시",582,1083,1665,93519,204765,298284,7122,4669,11792
"2023","11","10시-11시",592,1141,1733,71433,222335,293768,6250,6986,13236
"2023","11","11시-12시",866,900,1766,126291,154718,281009,6151,6470,12622
"2023","11","12시-13시",732,912,1644,89272,140699,229971,6548,6768,13316
"2023","11","13시-14시",890,953,1843,135721,147030,282751,4367,6008,10375
"2023","11","14시-15시",806,848,1654,117287,113211,230498,4628,7178,11806
"2023","11","15시-16시",893,825,1718,160047,142778,302825,5702,3657,9360
"2023","11","16시-17시",1062,754,1816,204690,126582,331272,8629,3845,12474
"2023","11","17시-18시",1130,628,1758,231819,116262,348081,7936,4388,12324
"2023","11","18시-19시",804,672,1476,142215,132014,274229,6524,4803,11327
"2023","11","19시-20시",794,865,1659,135556,176942,312498,3294,4428,7723
"2023","11","20시-21시",908,885,1793,128603,179654,308257,4608,4451,9058
"2023","11","21시-22시",669,890,1559,108660,165600,274260,4372,4872,9244
"2023","11","22시-23시",486,779,1265,68402,102252,170654,3556,7460,11016
"2023","11","23시-00시",248,554,802,21435,73032,94467,2641,13576,16217
"2023","12","00시-01시",187,404,591,15623,44354,59977,2929,8601,11530
"2023","12","01시-02시",81,256,337,2841,27262,30103,2748,5719,8467
"2023","12","02시-03시",61,233,294,3309,17453,20762,1552,7917,9469
"2023","12","03시-04시",122,94,216,14495,3204,17699,1547,3632,5178
"2023","12","04시-05시",512,93,605,99429,944,100373,3234,4003,7237
"2023","12","05시-06시",876,56,932,190566,168,190734,3737,1787,5524
"2023","12","06시-07시",877,187,1064,172545,21540,194085,4674,2047,6721
"2023","12","07시-08시",979,564,1543,160134,98241,258375,7832,1763,9595
"2023","12","08시-09시",716,1073,1789,119589,185260,304849,7302,3625,10927
"2023","12","09시-10시",669,1097,1766,113632,209853,323485,7564,4436,12000
"2023","12","10시-11시",635,1179,1814,72299,228831,301130,7146,7061,14207
"2023","12","11시-12시",898,1050,1948,116296,190072,306368,6941,5894,12836
"2023","12","12시-13시",765,1031,1796,93295,163556,256851,5285,6434,11718
"2023","12","13시-14시",904,1005,1909,138155,152081,290236,5671,5680,11350
"2023","12","14시-15시",956,901,1857,146222,122749,268971,4580,6874,11454
"2023","12","15시-16시",964,844,1808,178053,147140,325193,5855,3405,9261
"2023","12","16시-17시",1024,855,1879,201297,141064,342361,7855,5265,13120
"2023","12","17시-18시",1170,701,1871,243932,131186,375118,7790,3670,11460
"2023","12","18시-19시",933,707,1640,170638,143834,314472,5767,4282,10050
"2023","12","19시-20시",822,974,1796,144105,204882,348987,3242,5042,8283
"2023","12","20시-21시",1043,959,2002,149459,201155,350614,5580,4136,9717
"2023","12","21시-22시",723,991,1714,116864,196637,313501,5591,4637,10228
"2023","12","22시-23시",525,838,1363,75800,123200,199000,4336,6257,10594
"2023","12","23시-00시",293,625,918,32540,80189,112729,3537,12486,16023
"2024","1","00시-01시",154,370,524,12216,49123,61339,3010,7170,10179
"2024","1","01시-02시",62,234,296,3463,27552,31015,2476,4675,7152
"2024","1","02시-03시",50,193,243,4505,13077,17582,1338,6398,7737
"2024","1","03시-04시",185,85,270,25992,919,26911,2015,3753,5768
"2024","1","04시-05시",607,54,661,121831,372,122203,3554,2527,6080
"2024","1","05시-06시",903,59,962,193865,167,194032,4645,2361,7006
"2024","1","06시-07시",961,192,1153,183287,24503,207790,4761,1620,6382
"2024","1","07시-08시",967,628,1595,147513,110684,258197,7544,1808,9352
"2024","1","08시-09시",777,1150,1927,125425,207898,333323,6809,3228,10037
"2024","1","09시-10시",695,1198,1893,114833,235093,349926,7799,5023,12822
"2024","1","10시-11시",689,1212,1901,74392,249780,324172,6795,5872,12666
"2024","1","11시-12시",885,1072,1957,117284,190656,307940,5211,5663,10874
"2024","1","12시-13시",754,1026,1780,93705,160469,254174,4548,6501,11049
"2024","1","13시-14시",955,984,1939,146733,151983,298716,5363,5062,10426
"2024","1","14시-15시",1026,916,1942,155832,134756,290588,4350,5538,9888
"2024","1","15시-16시",966,862,1828,173031,160964,333995,5336,2182,7519
"2024","1","16시-17시",1055,896,1951,208093,157864,365957,6907,3478,10386
"2024","1","17시-18시",1196,705,1901,245264,129013,374277,6940,3472,10411
"2024","1","18시-19시",905,702,1607,166400,146139,312539,4692,3986,8679
"2024","1","19시-20시",834,1056,1890,138174,213051,351225,3305,4615,7920
"2024","1","20시-21시",1076,959,2035,158854,212092,370946,6156,3975,10131
"2024","1","21시-22시",700,981,1681,112134,192993,305127,4587,3546,8133
"2024","1","22시-23시",535,946,1481,77588,144682,222270,3340,5340,8680
"2024","1","23시-00시",224,693,917,22589,90276,112865,2230,14028,16258
"2024","2","00시-01시",140,326,466,13652,43968,57620,2650,5416,8067
"2024","2","01시-02시",91,218,309,4849,27775,32624,3312,4957,8269
"2024","2","02시-03시",59,180,239,3682,11478,15160,2061,5796,7857
"2024","2","03시-04시",152,62,214,22803,2573,25376,1597,2398,3995
"2024","2","04시-05시",546,64,610,115455,474,115929,3717,3280,6997
"2024","2","05시-06시",808,67,875,181459,432,181891,4238,2180,6418
"2024","2","06시-07시",922,145,1067,189546,19769,209315,5645,1445,7091
"2024","2","07시-08시",875,604,1479,143111,102151,245262,6752,2069,8820
"2024","2","08시-09시",724,1114,1838,124945,197920,322865,6071,4112,10182
"2024","2","09시-10시",624,1068,1692,121044,212830,333874,5952,4642,10593
"2024","2","10시-11시",615,1191,1806,89558,232968,322526,4480,6038,10518
"2024","2","11시-12시",850,995,1845,133540,179207,312747,4628,5791,10419
"2024","2","12시-13시",678,966,1644,96120,159762,255882,5405,5291,10696
"2024","2","13시-14시",934,881,1815,163959,150506,314465,5221,3798,9020
"2024","2","14시-15시",933,868,1801,159754,132093,291847,4704,5535,10239
"2024","2","15시-16시",922,860,1782,187602,158340,345942,4818,3124,7942
"2024","2","16시-17시",984,832,1816,216135,141169,357304,6789,3716,10505
